Nome;Serviços;Telefone;Fax;Email;Website;Aguas, esgotos e drenagem;Ambiente;Arquitetura e Paisagismo;Caracterização e diagnóstico;Electricidade e Comunicações;Estabilidade e obras de arte;Gestão de Projeto;Mecânica;Pavimentos;Segurança contra riscos de incêndio;Sinalização e Equipamento de segurança;Forn ANA;Data de constituição; Capital Social ; Volume de Negócios (€) ;Ano Volume Negócios;Pessoal Permamente Total;CAR;FIS;ARQ;EST;AAD;IEL;MBT;STB;ACV;GAS;AED;SCI;ACU;TER;SEG;SAC;SIN;AMB;GEO;GET;MVT;AEX;TRA;PAV;SHV;SLU;HID;SIV;FAS;SAF;OAT;SIG;TOP;CER;INF;VED;PTL;MPC;TRD;PMO
360 ENGINEERING;Projetos de engenharia civil e consultoria técnica multidisciplinar (estrutura, hidráulica, etc.) EST TRD;215 864 485;;geral@360eng.pt;www.360eng.pt;0;0;0;0;0;1;1;0;0;0;0;;25/10/2017; 5 000 € ; 1 873 901 € ;2024;18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
A. F. COSTA LOPES;Arquitetura, urbanismo, interiores, planejamento e engenharia (projetos integrados de edifícios);213 827 280;;info@costalopes.com;www.costalopes.com;0;0;1;0;0;0;0;0;0;0;0;;26/10/1999; 150 000 € ; 667 641 € ;2023;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1V2;Pluridisciplinar: Arquitetura (ARQ), Estruturas (EST), Infraestruturas de águas e drenagem (AAD/AED), AVAC (ACV), Eletricidade (IEL), Segurança incêndio (SCI) etc. (projetos integrados de edifícios, urbanismo, vias férreas/aeroportos);218 438 550;218 438 559;lisboa@a1v2.pt;www.a1v2.pt;1;0;1;0;1;1;0;1;0;1;0;;09/08/1997; 1 336 800 € ; 996 532 € ;2024;17;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A2P Consult;"Estruturas de engenharia civil (projetos de estabilidade e fundações; obras de arte) – especialidade principal EST (pontes, edifícios em betão/aço)";218 455 040;;geral@a2p.pt;www.a2p.pt;0;0;0;0;0;1;0;0;0;0;0;;08/02/1990; 20 000 € ; 2 134 000 € ;2008;30;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
A4P (anpc);;224 968 853;;geral@anpcengenharia.com;https://www.anpcengenharia.com/;0;0;0;1;0;0;0;0;0;0;0;✓;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A400;Pluridisciplinar: Projetos de engenharia integrados (especialidades de estruturas, geotecnia, hidráulica, eletricidade, AVAC, etc. – exceto arquitetura) em edifícios e infraestruturas;226 073 720;;a400@a400.pt;www.a400.pt;1;0;0;0;1;1;0;1;1;0;0;;31/08/1995; 14 964 € ; 8 752 091 € ;2024;108;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acet;"Instalações especiais: Projetos de climatização e mecânica (AVAC), gás, térmica (TER), gestão de manutenção; coordenação/fiscalização de obras";219 178 990;;acet.geral@acet.pt;www.acet.pt;0;0;0;0;0;0;1;1;1;0;0;;31/01/1994; 5 000 € ; 946 034 € ;2023;11;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACCIONA facility Services;;;;;https://solucoes.acciona-energia.com/;0;0;0;0;0;0;0;0;0;0;0;✓;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Action Modulers;;261 813 660;;geral@actionmodulers.pt;https://actionmodulers.pt/;0;0;0;0;0;0;0;0;0;1;0;✓;26/06/1905;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACRIBIA;Desenho técnico e elaboração de projetos de engenharia (desenvolvimento de peças desenhadas de arquitetura/engenharia);219 403 173;219 403 175;geral@acribia.pt;www.acribia.pt;0;0;0;0;0;0;0;0;0;0;0;;08/09/1995; 50 000 € ; 720 000 € ;2023;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADÃO DA FONSECA;Consultoria e projetos de estruturas (pontes, edifícios especiais) e gestão da qualidade em engenharia civil – especialidade EST (incl. obras de arte – OAT);226 155 855;226 155 856;adf@adfconsultores.com;www.adfconsultores.com;0;0;0;0;0;1;0;0;0;0;0;;19/07/2006; 16 800 € ; 3 423 297 € ;2024;25;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
ADFGEO;Geotecnia e geologia: Estudos/projetos geotécnicos (fundações, contenções) – especialidades GET/GEO;226 155 855;226 155 856;adf@adfconsultores.com;www.adfconsultores.com;0;0;0;0;0;0;0;0;1;0;0;;18/10/2011; 5 000 € ; 851 362 € ;2024;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Afavias - Engenharia E Construções;;291911010;;geralafa@afa.pt;https://afa.pt/engenharia-e-construcao/afavias/;0;0;0;0;0;0;0;0;1;0;0;✓;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFACONSULT;Pluridisciplinar: Projetos de estruturas (EST), hidráulica (AAD/AED), eletromecânicas (ACV, IEL, GAS, SCI), eficiência energética (TER), etc. em edifícios e obras de grande porte;223 776 700;;info@afaconsult.com;www.afaconsult.com;1;0;0;0;1;1;0;1;1;1;0;;13/01/1999; 50 000 € ; 3 289 487 € ;2022;43;0;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFAPLAN ;Gestão de projetos e fiscalização de obras (planeamento, controle de custos/prazos) – não executa projetos de especialidade;223 776 780;223 776 772;info@afaplan.com;www.afaplan.com;0;0;0;0;0;0;0;0;0;0;0;;23/06/1994; 50 000 € ; 33 400 000 € ;2024;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGRI-PRO;Consultoria ambiental e agronómica (estudos de impacte ambiental, ordenamento rural, recursos hídricos) – especialidade AMB (ambiente) e hidráulica agrícola;213 828 040;213 828 050;geral@agriproambiente.pt;www.agriproambiente.pt;1;1;0;0;0;0;0;0;0;0;0;;18/01/1991; 500 000 € ; 1 400 000 € ;2019;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AJL SOARES;Consultoria de engenharia e gestão de projetos (planejamento estratégico, gestão de empreendimentos) – não executa projetos técnicos específicos;960 405 243;;ajldasoares@yahoo.com;;0;0;0;0;0;0;0;0;0;0;0;;30/07/2021; 1 000 € ; 46 205 € ;2022;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alves Ribeiro SA;;217 917 200;217 932 549;mail@alvesribeiro.pt;www.alvesribeiro.pt;0;0;0;1;0;1;0;0;0;0;0;✓;;;;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AQUALOGUS;Hidráulica e ambiente: projetos de abastecimento de água e saneamento (AAD, AED), aproveitamentos hidroagrícolas, obras hidráulicas e marítimas, estudos ambientais (AMB);217 520 190;217 520 199;geral@aqualogus.pt;www.aqualogus.pt;1;1;0;0;0;0;0;0;0;0;0;;02/08/1996; 500 000 € ; 5 100 000 € ;2023;90;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARC International Design Consultants;Arquitetura e design urbano (planeamento físico, projetos de edificações emblemáticas) – especialidade ARQ;211 521 177;;arc-idc@arc-idc.com;www.arcidc.com;0;0;1;0;0;0;0;0;0;0;0;;21/09/2015; 50 000 € ; 3 722 429 € ;2023;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARIPA;Arquitetura paisagista e ambiente: integração paisagística de projetos, espaços exteriores (AEX) e estudos ambientais (AMB);217 826 270;217 826 279;geral@aripa.pt;www.aripa.pt;0;1;1;0;0;0;0;0;0;0;0;;26/07/1979; 200 000 € ; 3 275 745 € ;2008;34;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARQPAIS;Arquitetura paisagista: projetos de paisagismo, arranjos exteriores (AEX) e consultoria ambiental (AMB);217 140 257;;geral@arqpais.pt;www.arqpais.pt;0;1;1;0;0;0;0;0;0;0;0;;09/02/1995; 250 000 € ; 968 321 € ;2024;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARQUIPRODETE;;962 810 514;;geral@arquiprodete.pt;https://www.arquiprodete.pt/;0;0;1;0;0;1;0;0;0;0;0;✓;;;;;;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AT.93;Arquitetura e pequenas obras de engenharia (projetos arquitetónicos residenciais e compatibilização estrutural básica) – ARQ (com coordenação EST terceirizada);261 864 713;;geral@at93.pt;www.at93.pt;0;0;1;0;0;1;0;0;0;0;0;;05/02/1993; 251 444 € ; 1 067 227 € ;2023;11;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
